customer_id,recent_purchase,recency,frequency,monetary,R 점수,F 점수,M 점수,RFM세그먼트,RFM스코어,,,R,,F,M
17928,2011-10-25 13:52:00 UTC,46,23,212.54,3,2,1,321,6,,,142.75,4,98,1660.5975
14607,2011-11-24 10:35:00 UTC,16,81,16209.5,4,3,4,434,11,,,51,3,41,668.57
16399,2011-11-20 16:12:00 UTC,20,72,408.02,3,3,2,332,8,,,18,2,17,306.4825
17949,2011-12-08 18:46:00 UTC,2,70,58510.48,4,3,4,434,11,,,1,1,1,3.75
17750,2011-12-04 14:09:00 UTC,6,184,1710.45,4,4,4,444,12,,,,,,
14446,2011-12-09 11:34:00 UTC,1,277,1010.35,4,4,3,443,11,,,,,,
13208,2011-10-12 09:54:00 UTC,59,148,1217.65,2,4,3,243,9,,,,,,
16024,2011-11-27 13:26:00 UTC,13,63,251.03,4,3,1,431,8,,,,,,
15026,2011-09-20 13:52:00 UTC,81,61,469,2,3,2,232,7,,,,,,
17857,2011-12-05 13:13:00 UTC,5,54,26879.04,4,3,4,434,11,,,,,,
15555,2011-11-27 16:19:00 UTC,13,887,4794.86,4,4,4,444,12,,,,,,
18116,2011-10-03 11:00:00 UTC,68,371,1403.11,2,4,3,243,9,,,,,,
15563,2011-11-17 14:50:00 UTC,23,113,1400.44,3,4,3,343,10,,,,,,
12748,2011-12-09 12:20:00 UTC,1,4412,33053.19,4,4,4,444,12,,,,,,
13268,2011-11-22 11:51:00 UTC,18,433,3174.75,3,4,4,344,11,,,,,,
14046,2011-02-28 14:48:00 UTC,285,14,154.99,1,1,1,111,3,,,,,,
14071,2011-12-06 12:27:00 UTC,4,323,1437.57,4,4,3,443,11,,,,,,
13569,2011-11-22 13:07:00 UTC,18,79,338.62,3,3,2,332,8,,,,,,
15113,2011-11-30 08:23:00 UTC,10,97,3509.43,4,3,4,434,11,,,,,,
15885,2011-09-08 10:43:00 UTC,93,18,379.35,2,2,2,222,6,,,,,,
14606,2011-12-08 19:28:00 UTC,2,2677,12076.15,4,4,4,444,12,,,,,,
15891,2011-04-27 12:35:00 UTC,227,60,511.68,1,3,2,132,6,,,,,,
17940,2011-10-21 13:27:00 UTC,50,18,4020.04,3,2,4,324,9,,,,,,
15894,2011-03-31 13:50:00 UTC,254,37,258.25,1,2,1,121,4,,,,,,
15645,2011-11-21 11:55:00 UTC,19,52,612.01,3,3,2,332,8,,,,,,
15901,2011-11-23 12:43:00 UTC,17,111,351.73,4,4,2,442,10,,,,,,
16928,2011-09-20 15:10:00 UTC,81,204,2814.7,2,4,4,244,10,,,,,,
12577,2011-11-04 13:24:00 UTC,36,146,626.6,3,4,2,342,9,,,,,,
13090,2011-12-01 12:39:00 UTC,9,155,8910.82,4,4,4,444,12,,,,,,
15907,2011-12-06 12:21:00 UTC,4,226,882.72,4,4,3,443,11,,,,,,
17449,2011-12-07 16:56:00 UTC,3,276,2519.21,4,4,4,444,12,,,,,,
15402,2011-07-14 12:17:00 UTC,149,42,626.77,1,3,2,132,6,,,,,,
17194,2011-03-11 12:05:00 UTC,274,29,262.62,1,2,1,121,4,,,,,,
15674,2011-09-27 15:17:00 UTC,74,114,2446.6,2,4,4,244,10,,,,,,
14653,2011-12-08 13:45:00 UTC,2,234,1926.65,4,4,4,444,12,,,,,,
